time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,train/std,train/loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/clip_range_vf,train/learning_rate,train/value_loss,train/clip_fraction,train/approx_kl,train/entropy_loss,train/n_updates
22,20.808338165283203,933.72,1,131072,5890,,,,,,,,,,,,
46,13.090357780456543,806.62,2,262144,5686,0.13535383343696594,0.7184492945671082,0.3,-0.0019235331177090604,-1.6094231605529785,0.3,0.0001,0.8520098179578781,0.025390625,0.006860703,8.714813470840454,1
68,10.336814880371094,780.76,3,393216,5766,0.1354050636291504,0.3908948600292206,0.3,-0.0006074293102655146,-0.7379567623138428,0.3,0.0001,0.3747222400373883,0.0203125,0.006403819,8.71112232208252,2
90,7.8720383644104,734.31,4,524288,5817,0.13543425500392914,0.2636895775794983,0.3,0.0006432290365164345,0.23331791162490845,0.3,0.0001,0.2519922655176472,0.02027027027027027,0.006301918,8.706412598893449,3
112,8.737201690673828,746.6,5,655360,5846,0.1354796439409256,0.29320305585861206,0.3,-0.0006556676919845974,0.5434213876724243,0.3,0.0001,0.20232155919075012,0.01631433823529412,0.0055885147,8.702727682450238,4
134,9.956306457519531,743.21,6,786432,5863,0.13548533618450165,0.23946504294872284,0.3,0.0003046306932496058,0.6552681922912598,0.3,0.0001,0.1838469759032533,0.027238175675675675,0.006745301,8.699258778546307,5
155,10.582441329956055,730.98,7,917504,5884,0.13550211489200592,0.24555829167366028,0.3,2.2094754967838526e-05,0.7406251430511475,0.3,0.0001,0.19871716999581882,0.018136160714285716,0.0055605215,8.698124987738472,6
177,12.749524116516113,746.05,8,1048576,5900,0.13551460206508636,0.26773953437805176,0.3,-0.002829674308976302,0.7937037944793701,0.3,0.0001,0.2143414582197483,0.016826923076923076,0.0048684957,8.696859726539024,7
199,13.839544296264648,748.37,9,1179648,5914,0.13553762435913086,0.2517198920249939,0.3,-0.004184037322799364,0.8127827048301697,0.3,0.0001,0.224144812921683,0.022916666666666665,0.006096291,8.694773737589518,8
221,14.351716041564941,718.14,10,1310720,5926,0.13556940853595734,0.34571605920791626,0.3,-0.0015934021557094875,0.8259685635566711,0.3,0.0001,0.26734254757563275,0.013310185185185185,0.0044416334,8.691906611124674,9
242,15.75300407409668,719.49,11,1441792,5935,0.13559490442276,0.29375678300857544,0.3,0.00033105469854741263,0.8287328481674194,0.3,0.0001,0.2739415189315533,0.0234375,0.0062064854,8.688588208165662,10
264,17.6935977935791,774.31,12,1572864,5946,0.1355995386838913,0.358448326587677,0.3,-0.004599457096663259,0.8048759698867798,0.3,0.0001,0.351621185030256,0.021205357142857144,0.005636512,8.686874117170062,11
286,17.609708786010742,767.13,13,1703936,5950,0.1355823129415512,0.40342241525650024,0.3,0.0017186191564958011,0.8188418745994568,0.3,0.0001,0.3367443909602506,0.018415178571428572,0.0057236627,8.687671252659388,12
308,18.169803619384766,731.72,14,1835008,5957,0.13557752966880798,0.4075358510017395,0.3,0.0004311396379864985,0.8143727779388428,0.3,0.0001,0.3874599549078172,0.01663306451612903,0.0051062596,8.688852156362225,13
329,20.68163299560547,806.3,15,1966080,5964,0.13559870421886444,0.44663718342781067,0.3,-0.0018242045383279522,0.8088926672935486,0.3,0.0001,0.40514072341223556,0.016927083333333332,0.005705939,8.687917947769165,14
351,20.193479537963867,781.29,16,2097152,5968,0.13562533259391785,0.5669776201248169,0.3,-0.0018750342074781655,0.8059667348861694,0.3,0.0001,0.4061064302921295,0.012109375,0.004403065,8.684990406036377,15
373,21.561124801635742,819.62,17,2228224,5971,0.1356288492679596,0.7047557830810547,0.3,0.0030434540659189224,0.81557297706604,0.3,0.0001,0.38237175822257996,0.0215625,0.0059545897,8.68319206237793,16
394,22.21401596069336,844.96,18,2359296,5976,0.13562436401844025,0.4327102303504944,0.3,-0.0015299080793435376,0.7983117699623108,0.3,0.0001,0.4048488554027345,0.017361111111111112,0.00551093,8.683867719438341,17
416,23.57038116455078,884.2,19,2490368,5979,0.135659322142601,0.4972149729728699,0.3,-0.0018160925060510635,0.8130058646202087,0.3,0.0001,0.39036476135253906,0.025625,0.0064893146,8.682461585998535,18
438,24.258649826049805,919.09,20,2621440,5981,0.13566182553768158,0.48265931010246277,0.3,-0.00042570891844875673,0.8047288060188293,0.3,0.0001,0.4276387042859021,0.025735294117647058,0.0063289613,8.679646884693819,19
459,24.258838653564453,900.1,21,2752512,5985,0.13567180931568146,0.5491908192634583,0.3,-0.0019260985466341177,0.7888144254684448,0.3,0.0001,0.4105221927165985,0.018229166666666668,0.0050083078,8.679310671488444,20
481,25.267839431762695,928.7,22,2883584,5987,0.13567937910556793,0.3171563744544983,0.3,0.004915912332944572,0.8013265132904053,0.3,0.0001,0.40474401190876963,0.018359375,0.0050899666,8.678306770324706,21
503,24.081092834472656,879.18,23,3014656,5989,0.13571138679981232,0.39124178886413574,0.3,0.0019778254570375227,0.7471061944961548,0.3,0.0001,0.4653582727086955,0.01966594827586207,0.006105225,8.676034105235132,22
525,22.807859420776367,838.8,24,3145728,5990,0.13574568927288055,0.6833879947662354,0.3,-0.002609867379069328,0.7290084958076477,0.3,0.0001,0.520923171043396,0.0140625,0.004612197,8.672340126037598,23
546,23.1025447845459,834.71,25,3276800,5991,0.13575239479541779,0.43724918365478516,0.3,0.0010126525469656502,0.7661619186401367,0.3,0.0001,0.4961074729050909,0.021484375,0.0055502006,8.669928584780012,24
568,21.78754425048828,794.0,26,3407872,5992,0.135797917842865,0.5222299098968506,0.3,0.002827351251126904,0.7684246301651001,0.3,0.0001,0.47660793520902334,0.02528782894736842,0.0068026655,8.667211532592773,25
590,24.40441131591797,854.5,27,3538944,5993,0.13580700755119324,0.41812241077423096,0.3,-0.00010117843436698118,0.8079707622528076,0.3,0.0001,0.41711256355047227,0.017708333333333333,0.0053360155,8.663951778411866,26
612,24.6329402923584,851.0,28,3670016,5990,0.135819211602211,0.3750893473625183,0.3,-0.0015175396942400507,0.7846583127975464,0.3,0.0001,0.4170688273651259,0.026785714285714284,0.006604319,8.663369178771973,27
635,25.42197036743164,876.12,29,3801088,5982,0.13586583733558655,0.5242909789085388,0.3,0.0006619544389347235,0.7888113856315613,0.3,0.0001,0.43032704956001705,0.016276041666666668,0.005125737,8.659894439909193,28
657,26.852066040039062,908.34,30,3932160,5983,0.13590112328529358,0.2922981083393097,0.3,-0.000741071773297859,0.793300211429596,0.3,0.0001,0.390610931949182,0.023910984848484848,0.006658027,8.654474171725186,29
679,27.136676788330078,911.91,31,4063232,5984,0.13591010868549347,0.3699880540370941,0.3,-0.0005787835576601567,0.7481856942176819,0.3,0.0001,0.3546262489211175,0.02469758064516129,0.005936987,8.653479114655525,30
700,26.794519424438477,896.6,32,4194304,5984,0.13592566549777985,0.4540504515171051,0.3,-0.0019497150206007063,0.7786457538604736,0.3,0.0001,0.397117109503597,0.01806640625,0.005738018,8.650936424732208,31
722,27.14144515991211,907.93,33,4325376,5985,0.13592489063739777,0.30373841524124146,0.3,0.0013829422513804129,0.7747057676315308,0.3,0.0001,0.34409824927007,0.025453629032258066,0.0062321364,8.650595265050088,32
744,27.142488479614258,904.23,34,4456448,5986,0.1359236240386963,0.35746634006500244,0.3,0.0014853354453319503,0.8229454755783081,0.3,0.0001,0.3722757024149741,0.026713709677419355,0.0065938667,8.651585209754206,33
766,27.951086044311523,922.47,35,4587520,5987,0.13591888546943665,0.5454156398773193,0.3,0.0007701934211783939,0.8156424760818481,0.3,0.0001,0.36606848460656627,0.021701388888888888,0.0059026293,8.650928567956996,34
788,29.903047561645508,967.06,36,4718592,5987,0.13591529428958893,0.47662511467933655,0.3,0.0008339998312294483,0.779717206954956,0.3,0.0001,0.31801215750830514,0.027232142857142858,0.0070841243,8.651830673217773,35
809,30.75855255126953,985.76,37,4849664,5988,0.13593535125255585,0.43790364265441895,0.3,0.0018997266815858893,0.6965905427932739,0.3,0.0001,0.37892691185697913,0.020263671875,0.0061782696,8.651398777961731,36
831,31.39651870727539,995.57,38,4980736,5989,0.1359775811433792,0.5492369532585144,0.3,0.0008541794324463064,0.6449164152145386,0.3,0.0001,0.37585569285985193,0.02556818181818182,0.0066352696,8.648007941968514,37
853,31.367626190185547,991.07,39,5111808,5990,0.13600917160511017,0.49264323711395264,0.3,0.001992851004211439,0.6102378964424133,0.3,0.0001,0.3649571466225165,0.02459490740740741,0.0063024946,8.643195434852883,38
875,31.429771423339844,989.62,40,5242880,5991,0.13601665198802948,0.40895241498947144,0.3,0.0007908917629183867,0.6189039349555969,0.3,0.0001,0.33535654842853546,0.021434294871794872,0.006420081,8.640994218679575,39
896,31.84014892578125,997.66,41,5373952,5993,0.1360468864440918,0.2557465434074402,0.3,0.00034331808004666256,0.6653406023979187,0.3,0.0001,0.3167559493471075,0.01707175925925926,0.0053851027,8.638855969464338,40
918,31.87395477294922,995.73,42,5505024,5994,0.13601814210414886,0.5834739804267883,0.3,0.0010755906978081311,0.6846307516098022,0.3,0.0001,0.3476072222955765,0.02469758064516129,0.0066825473,8.639406511860509,41
940,32.33183288574219,1000.0,43,5636096,5995,0.13602887094020844,0.5750882029533386,0.3,0.000245759219978936,0.7111256122589111,0.3,0.0001,0.3428739714436233,0.023681640625,0.006477087,8.640219002962112,42
961,32.29373550415039,1000.0,44,5767168,5997,0.1360628306865692,0.39876845479011536,0.3,0.0017708695959299803,0.6796653270721436,0.3,0.0001,0.33112864196300507,0.022600446428571428,0.005966634,8.637534243719918,43
983,32.355918884277344,998.31,45,5898240,5997,0.13608044385910034,0.481662392616272,0.3,0.0002080906302698197,0.6806366443634033,0.3,0.0001,0.31855711340904236,0.020917338709677418,0.0063204835,8.634551478970435,44
1005,32.17611312866211,993.53,46,6029312,5997,0.13610416650772095,0.4980967342853546,0.3,0.0022907329892570324,0.7372839450836182,0.3,0.0001,0.3254223759427215,0.020596590909090908,0.006077353,8.632448196411133,45
1026,32.111576080322266,991.08,47,6160384,5998,0.13611586391925812,0.33106255531311035,0.3,0.000974883995950222,0.7333652973175049,0.3,0.0001,0.3092150467634201,0.015625,0.005200741,8.630859413146972,46
1048,32.526206970214844,999.65,48,6291456,5999,0.13613857328891754,0.5997307896614075,0.3,0.002363250117438535,0.7427031993865967,0.3,0.0001,0.31629590640465416,0.023958333333333335,0.0065798233,8.628130149841308,47
1070,32.295291900634766,989.84,49,6422528,6000,0.13615773618221283,0.4292193055152893,0.3,0.002087690324212114,0.7453420758247375,0.3,0.0001,0.32320863712165093,0.026041666666666668,0.0068765096,8.627015087339613,48
1091,32.613285064697266,995.33,50,6553600,6001,0.136190727353096,0.45396339893341064,0.3,-0.0013362865860539455,0.7971985340118408,0.3,0.0001,0.29851501573015143,0.019965277777777776,0.005731161,8.623357596220794,49
1113,33.014163970947266,1000.0,51,6684672,6003,0.13620945811271667,0.3470749258995056,0.3,-0.0003554940466647563,0.799298107624054,0.3,0.0001,0.3040997722874517,0.016644021739130436,0.004986928,8.620709999747898,50
1135,33.074371337890625,1000.0,52,6815744,6004,0.13623248040676117,0.44245320558547974,0.3,0.0027446977421641348,0.7991204857826233,0.3,0.0001,0.2708411020040512,0.015,0.005450804,8.618035049438477,51
1156,33.199974060058594,1000.0,53,6946816,6005,0.13625267148017883,0.37970882654190063,0.3,0.0008492485753127507,0.813849151134491,0.3,0.0001,0.27893833603177753,0.026506696428571428,0.0068322676,8.616064820970808,52
1178,33.197410583496094,1000.0,54,7077888,6005,0.13625769317150116,0.4559536576271057,0.3,-0.0003935230068034596,0.8113695979118347,0.3,0.0001,0.2838528658504839,0.02025462962962963,0.005772579,8.614237149556478,53
1200,33.422691345214844,1000.0,55,7208960,6007,0.13626953959465027,0.4117584824562073,0.3,0.003145080089809433,0.8077660799026489,0.3,0.0001,0.2892099892900836,0.025201612903225805,0.006172986,8.61388434133222,54
1221,33.52204513549805,1000.0,56,7340032,6007,0.1362934708595276,0.33652111887931824,0.3,-0.00014391927314656123,0.8089619278907776,0.3,0.0001,0.28766366839408875,0.024274553571428572,0.0068434128,8.611725194113594,55
1243,33.544883728027344,1000.0,57,7471104,6007,0.13630935549736023,0.5535445809364319,0.3,0.001004519214367737,0.8098371028900146,0.3,0.0001,0.28803224926409515,0.022078804347826088,0.0056465697,8.609538741733717,56
1265,33.36355972290039,1000.0,58,7602176,6007,0.13632960617542267,0.5807675719261169,0.3,-0.0008748384873167827,0.8043460249900818,0.3,0.0001,0.2846872296470862,0.020432692307692308,0.006018224,8.607474107008715,57
1287,33.69974899291992,998.96,59,7733248,6008,0.13632608950138092,0.43752649426460266,0.3,0.0042408921111088535,0.7790033221244812,0.3,0.0001,0.28387366006007564,0.015625,0.0053709997,8.605911548321064,58
